,ID1_G,ID2_G,ID_T_G,ID_R_G,DATE_G,DF_ACE,AVR_DF,DF_PFS,DF_PSS,WIN,Break,H2H,DF_POINT,DF_RANK,PPM,complet,FATIGUE
3692,11358,24706,13231,4,2016-05-31 00:00:00,1.5357020054,-2.2243589744,-0.1153630801,-0.1631399861,0.3621794872,-0.1051644257,0,128,-586,0.0294316428,63.1856705454,0
3693,10203,29960,13231,4,2016-05-31 00:00:00,0.5631443299,1.2823118593,-0.1011248061,-0.1455881517,0.3067010309,-0.0719750327,0,20,-228,-0.0091849918,79.2971164755,0
3694,25332,41095,12814,6,2016-05-31 00:00:00,0.7578947368,0.9660818713,-0.0193519974,-0.0451525537,0.0974269006,-0.0383612766,0,0,0,0.0064694012,204.4105291907,0
3695,35036,32729,12815,4,2016-05-31 00:00:00,0.3083083152,0.5047619048,0.0948084555,0.1802503038,-0.3714285714,-0.0224353188,0,-20,239,-0.0748352725,9.8382600711,0
3696,36263,28774,12815,4,2016-05-31 00:00:00,-0.6845136948,-0.0285714286,-0.0002844632,0.0347721682,0,0.0004637997,0,0,-31,0.02576772,-11.3342403072,0
3697,41964,46752,12815,4,2016-05-31 00:00:00,-1.3402970638,-0.5555555556,-0.0020336053,-0.0275132275,0,-0.0638398638,0,0,0,0.0185378871,1.2440842663,0
3698,13674,23299,12991,4,2016-05-31 00:00:00,1.2497952498,-0.0494519341,-0.0369829982,-0.0580759998,0.1546546547,-0.0239610099,0,55,-357,0.0182704499,261.2290770369,0
3699,18017,20653,12991,4,2016-05-31 00:00:00,1.7950326797,1.9769934641,0.0089320645,-0.0101701989,-0.0193464052,-0.0156189054,0,45,-285,-0.0183846695,441.7844347011,0
3700,12594,13447,12991,4,2016-05-31 00:00:00,0.7045590915,0.6037417972,0.0261620793,-0.0055783265,0.0172675136,0.0277639165,0,-29,61,0.0023213538,110.6388826617,0
3701,13957,13269,12992,4,2016-05-31 00:00:00,-0.4243541062,-0.3438686621,0.0059601709,0.0189065075,-0.0070731889,-0.0140792779,0,57,-149,-0.0028139562,-18.3486412346,0
3702,616,23816,12992,4,2016-05-31 00:00:00,-1.6767744532,0.5381054609,0.0058266985,0.0091862468,-0.049241916,0.0516723732,0,869,-723,0.0008924669,223.7183918094,0
3703,3996,4454,12992,4,2016-05-31 00:00:00,0.1165071581,0.1029423396,0.0224888968,0.0140388123,-0.0177568615,0.0237777796,0,433,-207,-0.0072719375,39.3573443634,0
3704,14609,9840,12992,4,2016-05-31 00:00:00,-2.4526960784,-0.9109545175,-0.0341695745,-0.0164848554,0.0537990196,0.030272132,0,-248,334,0.0174460379,-436.7912805543,0
3705,20648,22429,12992,4,2016-05-31 00:00:00,-1.3584341964,-1.0219610798,-0.025069982,-0.0249124405,0.0638501609,0.067285873,0,49,-247,0.0090178736,91.0868631384,0
3706,9488,18016,12993,4,2016-05-31 00:00:00,11.712425954,1.8205331313,0.0414831223,-0.0203126489,0.0453919273,-0.110447496,0,51,-378,-0.0676493244,1040.2098718502,0
3707,34493,22844,12993,4,2016-05-31 00:00:00,-0.6666666667,1.6666666667,-0.0630630631,-0.1666666667,0.3333333333,0.2272727273,0,0,0,0.0018477566,0.9090909091,0
3708,11517,4149,12993,4,2016-05-31 00:00:00,0.7567134762,-0.1658043853,0.0225626827,0.0298554451,-0.0219265829,0.0048999213,0,-320,159,-0.0072007546,234.3668877855,0
3709,12896,5058,12993,4,2016-05-31 00:00:00,0.2289360569,2.6706226939,0.0281410047,0.0439029534,-0.1427022709,-0.0564610575,0,-95,89,-0.0222952389,-212.9702033478,0
3710,36063,46720,12815,4,2016-05-31 00:00:00,-0.75,0.5,0,0,0,-0.1981060606,0,0,0,-0.0695462767,-2.478030303,0
3711,22439,20694,12991,4,2016-05-31 00:00:00,2.7451922955,-1.5435371081,-0.0169255386,-0.0206192922,0.0530115046,0.0157980574,0,10,-40,-0.0108968103,133.070261699,0
3712,10202,10231,12991,4,2016-05-31 00:00:00,-1.8303398372,0.5528276694,0.0035306046,0.0442638571,-0.0913554723,-0.000017423,0,101,-37,-0.0098289799,-382.5593863657,0
3713,4146,23142,12991,4,2016-05-31 00:00:00,3.2745017465,0.393774399,0.0461191591,0.0287219098,-0.0422231354,-0.0726860138,0,677,-824,-0.0467257377,709.8997954426,0
3714,6002,838,12992,4,2016-05-31 00:00:00,-0.3322933802,-0.2292699529,-0.0083593077,-0.0108652713,0.0219411197,-0.0152138106,0,-62,11,-0.0095945785,-88.7454124214,0
3715,14177,13765,12992,4,2016-05-31 00:00:00,4.490706411,0.6289930513,0.0425859221,0.0123160211,-0.0260515137,-0.0473334792,0,32,-38,-0.0294749094,543.6518132914,0
3716,7345,23640,12992,4,2016-05-31 00:00:00,-0.9572696595,-0.6831584166,-0.0380965933,-0.0469063684,0.0573593074,-0.0182414726,0,60,-446,0.0027442298,263.8709758675,0
3717,13048,12871,12992,4,2016-05-31 00:00:00,0.3142214266,-0.8692148285,0.0118134356,0.013874842,0.0238698288,0.0029552064,0,9,-9,0.0030502419,123.2739187858,0
3718,6962,5904,12992,4,2016-05-31 00:00:00,-1.4242124262,1.0199963193,-0.0405941216,-0.0691023351,0.1394557823,0.0649604205,0,21,-22,0.0493245546,28.3782809708,0
3719,7889,8396,12993,4,2016-05-31 00:00:00,-1.5744360902,-1.5137844612,-0.00531842,-0.0031623153,0.0120300752,-0.0213369029,0,-11,34,0.016603418,-198.7701839131,0
3720,1266,6228,12993,4,2016-05-31 00:00:00,1.8891858058,-0.072988549,0.0146564165,0.0042818156,-0.0022629881,0.0016151908,0,540,-141,-0.0164420397,363.657816459,0
3721,20979,48643,13232,4,2016-05-31 00:00:00,2.3212990666,0.41,-0.1168013861,-0.155277247,0.32,-0.3104451659,0,6,-13,0.0489463953,23.5505185719,0
3722,22800,29903,13232,4,2016-05-31 00:00:00,2.1987442315,-2.5909090909,-0.0195312464,-0.0380011365,0.1363636364,0.1437295028,0,6,-15,-0.000839631,41.3152872665,0
3723,36470,32996,13232,4,2016-05-31 00:00:00,2.6,-1.5,-0.0484848485,-0.120245614,0.3,0.2478896104,0,0,0,0.1336838648,12.6845779221,0
3724,34789,14536,13232,4,2016-05-31 00:00:00,-4.6943907157,-2.584139265,0.0221289629,0.0911027261,-0.2379110251,0.0457155728,0,-10,102,-0.0856945754,-167.3786673138,0
3725,17358,14329,13232,4,2016-05-31 00:00:00,-3.2014104781,-3.3034920635,-0.1043424184,-0.1058393563,0.2755555556,0.084973042,0,18,-212,0.0831390161,3.3102434185,0
3726,29967,30847,13232,4,2016-05-31 00:00:00,1.181335923,-3.3521857372,-0.0895135566,0.2219745279,0.3,0.0325198413,0,0,0,0.1075164179,23.161577981,0
3727,9109,31200,13232,4,2016-05-31 00:00:00,-0.0996154738,-0.7839285714,-0.1826896754,-0.2758746532,0.5107142857,0.1236617529,0,70,-460,0.1378295071,67.709621638,0
3728,50925,36422,12991,4,2016-05-31 00:00:00,-1.2222222222,-1.3737373737,-0.0924885438,-0.1240461599,0.303030303,0.0189393939,0,0,0,0.0065663653,-6.4583333333,0
3729,23235,52003,12993,4,2016-05-31 00:00:00,-0.5595238095,-2.2142857143,-0.0512094464,-0.0584737032,0.1547619048,0.147968558,0,0,0,0.0817943542,88.652400493,0
3730,33439,34848,13221,4,2016-05-31 00:00:00,0.6708625212,-1.8610083294,-0.1653981633,-0.2866921771,0.6486111111,0.1415850816,0,9,-52,0.1334687059,53.6644671525,0
3731,14510,34489,13221,4,2016-05-31 00:00:00,-0.9278606965,-3.6106965174,-0.0784882141,-0.0242194255,0.2786069652,0.1913938072,0,6,-33,0.0914872986,84.2875487615,0
3732,13069,30119,13221,4,2016-05-31 00:00:00,1.0373086871,0.1454545455,-0.0202491307,-0.0207611147,0.1233766234,0.2111124986,0,61,-433,0.0532484889,128.1454455459,0
3733,26009,28763,13221,4,2016-05-31 00:00:00,0.3197722749,0.2120535714,-0.0502014935,-0.0885891026,0.2232142857,0.1071167,0,39,-287,0.040987673,50.7908816699,0
3734,17741,35539,13221,4,2016-05-31 00:00:00,0.1963036963,0.8281484169,-0.0602755159,-0.0994168053,0.1888111888,0.0556898516,0,17,-204,0.0444398405,101.4065857169,0
3735,23815,17831,13221,4,2016-05-31 00:00:00,1.9730769231,2.5901098901,-0.0270903985,-0.0340871844,0.1538461538,0.0493861892,0,68,-360,-0.0021431352,120.7008483183,0
3736,27531,21762,13221,4,2016-05-31 00:00:00,1.9713746111,0.8166666667,-0.1057628353,-0.2198942995,0.4833333333,0.000260249,0,31,-255,0.0572534964,91.2769164495,0
3737,13073,24227,13221,4,2016-05-31 00:00:00,-1.5476190476,-4.2526390457,-0.0154171747,0.0251612198,-0.0238095238,-0.0018824038,0,-1,-8,-0.0292011736,6.7846908394,0
3738,36278,29463,13221,4,2016-05-31 00:00:00,-3.448934308,-0.8278939335,0.0144172369,-0.077823097,0.1785714286,0.0737683448,0,0,0,0.0756002161,7.2124770215,0
3739,28073,50633,13222,4,2016-05-31 00:00:00,-0.161091276,1.168989547,-0.0044884554,-0.0459615186,0.0836236934,0.1014650104,0,3,-10,-0.0121958922,72.6378041717,0
3740,29943,28302,13222,4,2016-05-31 00:00:00,-1.7297539708,0.5080645161,-0.0334183817,-0.0455551163,0.0994623656,-0.0370651663,0,6,-19,0.0437569622,-13.6160279938,0
3741,11797,12767,13222,4,2016-05-31 00:00:00,-2.262929545,-0.5730337079,-0.0172000654,0.0456238991,-0.0791402052,-0.0144892023,0,-45,359,0.0123251012,-144.4340828368,0
3742,11742,14892,13222,4,2016-05-31 00:00:00,2.7932389747,1.6859266363,-0.0228991063,-0.0550552852,0.1922800288,-0.0374197031,0,-6,97,0.014979011,138.466985032,0
3743,17005,30748,13222,4,2016-05-31 00:00:00,3.4036885246,1.3852459016,-0.1368878315,-0.2308188904,0.5143442623,-0.0277876495,0,7,-119,0.0372161538,249.3712289077,0
3744,18089,25172,13222,4,2016-05-31 00:00:00,1.4169036259,-1.1139664366,-0.1300665739,-0.1859125466,0.4564102564,0.0093319928,0,6,-114,0.0677576495,36.6681517075,0
3745,26926,29151,13222,4,2016-05-31 00:00:00,1.5048696492,1.4394736842,0.0519898669,-0.023532748,0.0013157895,0.0296698556,0,10,-96,-0.0247250298,40.1780255095,0
3746,12226,27116,13222,4,2016-05-31 00:00:00,1.6892341691,-0.649122807,0.0316698589,-0.0005197016,-0.0305602716,-0.0908014563,0,3,-75,-0.0689102856,117.0908111458,0
